index;type;minority_decision;majority_decision
314;RARE;10=>2;10=>1
315;BORDERLINE;10=>2;10=>1
316;BORDERLINE;10=>2;10=>1
317;BORDERLINE;10=>2;10=>1
318;OUTLIER;10=>2;10=>1
319;RARE;10=>2;10=>1
320;BORDERLINE;10=>2;10=>1
321;BORDERLINE;10=>2;10=>1
322;RARE;10=>2;10=>1
323;SAFE;10=>2;10=>1
324;BORDERLINE;10=>2;10=>1
325;SAFE;10=>2;10=>1
326;SAFE;10=>2;10=>1
327;BORDERLINE;10=>2;10=>1
328;BORDERLINE;10=>2;10=>1
329;SAFE;10=>2;10=>1
330;BORDERLINE;10=>2;10=>1
331;SAFE;10=>2;10=>1
336;SAFE;10=>2;10=>1
337;SAFE;10=>2;10=>1
338;RARE;10=>2;10=>1
339;RARE;10=>2;10=>1
340;RARE;10=>2;10=>1
341;RARE;10=>2;10=>1
342;BORDERLINE;10=>2;10=>1
343;RARE;10=>2;10=>1
344;OUTLIER;10=>2;10=>1
349;RARE;10=>2;10=>1
350;BORDERLINE;10=>2;10=>1
351;OUTLIER;10=>2;10=>1
352;RARE;10=>2;10=>1
353;BORDERLINE;10=>2;10=>1
354;BORDERLINE;10=>2;10=>1
355;BORDERLINE;10=>2;10=>1
356;BORDERLINE;10=>2;10=>1
357;SAFE;10=>2;10=>1
358;BORDERLINE;10=>2;10=>1
359;SAFE;10=>2;10=>1
360;BORDERLINE;10=>2;10=>1
361;BORDERLINE;10=>2;10=>1
362;OUTLIER;10=>2;10=>1
363;BORDERLINE;10=>2;10=>1
364;BORDERLINE;10=>2;10=>1
365;BORDERLINE;10=>2;10=>1
366;SAFE;10=>2;10=>1
367;BORDERLINE;10=>2;10=>1
368;BORDERLINE;10=>2;10=>1
369;BORDERLINE;10=>2;10=>1
370;BORDERLINE;10=>2;10=>1
371;SAFE;10=>2;10=>1
372;RARE;10=>2;10=>1
373;SAFE;10=>2;10=>1
374;SAFE;10=>2;10=>1
375;SAFE;10=>2;10=>1
376;RARE;10=>2;10=>1
377;SAFE;10=>2;10=>1
378;BORDERLINE;10=>2;10=>1
379;RARE;10=>2;10=>1
380;SAFE;10=>2;10=>1
381;SAFE;10=>2;10=>1
382;BORDERLINE;10=>2;10=>1
383;OUTLIER;10=>2;10=>1
384;BORDERLINE;10=>2;10=>1
385;BORDERLINE;10=>2;10=>1
386;BORDERLINE;10=>2;10=>1
387;BORDERLINE;10=>2;10=>1
388;SAFE;10=>2;10=>1
389;BORDERLINE;10=>2;10=>1
390;RARE;10=>2;10=>1
391;OUTLIER;10=>2;10=>1
392;RARE;10=>2;10=>1
393;SAFE;10=>2;10=>1
394;BORDERLINE;10=>2;10=>1
395;OUTLIER;10=>2;10=>1
396;BORDERLINE;10=>2;10=>1
397;RARE;10=>2;10=>1
398;BORDERLINE;10=>2;10=>1
399;BORDERLINE;10=>2;10=>1
400;SAFE;10=>2;10=>1
401;RARE;10=>2;10=>1
402;BORDERLINE;10=>2;10=>1
403;RARE;10=>2;10=>1
404;BORDERLINE;10=>2;10=>1
405;RARE;10=>2;10=>1
406;BORDERLINE;10=>2;10=>1
407;SAFE;10=>2;10=>1
408;BORDERLINE;10=>2;10=>1
409;SAFE;10=>2;10=>1
410;SAFE;10=>2;10=>1
411;SAFE;10=>2;10=>1
412;RARE;10=>2;10=>1
415;SAFE;10=>2;10=>1
416;BORDERLINE;10=>2;10=>1
417;RARE;10=>2;10=>1
418;SAFE;10=>2;10=>1
419;SAFE;10=>2;10=>1
