index;type;minority_decision;majority_decision
298;BORDERLINE;4=>7;4=>6
939;RARE;4=>7;4=>6
172;OUTLIER;4=>7;4=>6
812;BORDERLINE;4=>7;4=>6
174;BORDERLINE;4=>7;4=>6
686;SAFE;4=>7;4=>6
942;OUTLIER;4=>7;4=>6
432;BORDERLINE;4=>7;4=>6
178;BORDERLINE;4=>7;4=>6
180;OUTLIER;4=>7;4=>6
437;OUTLIER;4=>7;4=>6
312;BORDERLINE;4=>7;4=>6
440;BORDERLINE;4=>7;4=>6
441;OUTLIER;4=>7;4=>6
314;BORDERLINE;4=>7;4=>6
316;BORDERLINE;4=>7;4=>6
572;BORDERLINE;4=>7;4=>6
829;RARE;4=>7;4=>6
62;OUTLIER;4=>7;4=>6
318;BORDERLINE;4=>7;4=>6
320;OUTLIER;4=>7;4=>6
194;BORDERLINE;4=>7;4=>6
199;BORDERLINE;4=>7;4=>6
456;BORDERLINE;4=>7;4=>6
712;BORDERLINE;4=>7;4=>6
333;OUTLIER;4=>7;4=>6
589;RARE;4=>7;4=>6
845;BORDERLINE;4=>7;4=>6
208;BORDERLINE;4=>7;4=>6
466;RARE;4=>7;4=>6
469;BORDERLINE;4=>7;4=>6
981;BORDERLINE;4=>7;4=>6
86;RARE;4=>7;4=>6
729;RARE;4=>7;4=>6
218;BORDERLINE;4=>7;4=>6
92;RARE;4=>7;4=>6
732;BORDERLINE;4=>7;4=>6
351;BORDERLINE;4=>7;4=>6
738;OUTLIER;4=>7;4=>6
102;BORDERLINE;4=>7;4=>6
231;BORDERLINE;4=>7;4=>6
233;BORDERLINE;4=>7;4=>6
361;BORDERLINE;4=>7;4=>6
489;OUTLIER;4=>7;4=>6
745;BORDERLINE;4=>7;4=>6
234;BORDERLINE;4=>7;4=>6
618;RARE;4=>7;4=>6
492;BORDERLINE;4=>7;4=>6
620;BORDERLINE;4=>7;4=>6
751;BORDERLINE;4=>7;4=>6
112;BORDERLINE;4=>7;4=>6
368;RARE;4=>7;4=>6
113;BORDERLINE;4=>7;4=>6
885;BORDERLINE;4=>7;4=>6
502;RARE;4=>7;4=>6
889;RARE;4=>7;4=>6
123;BORDERLINE;4=>7;4=>6
636;RARE;4=>7;4=>6
125;BORDERLINE;4=>7;4=>6
