index;type;minority_decision;majority_decision
1286;SAFE;11=>4;11=>3
1287;SAFE;11=>4;11=>3
1288;SAFE;11=>4;11=>3
1289;SAFE;11=>4;11=>3
1290;OUTLIER;11=>4;11=>3
1291;OUTLIER;11=>4;11=>3
1292;OUTLIER;11=>4;11=>3
1293;OUTLIER;11=>4;11=>3
1294;OUTLIER;11=>4;11=>3
1295;OUTLIER;11=>4;11=>3
272;BORDERLINE;11=>4;11=>3
1296;OUTLIER;11=>4;11=>3
273;BORDERLINE;11=>4;11=>3
1297;OUTLIER;11=>4;11=>3
274;SAFE;11=>4;11=>3
1298;OUTLIER;11=>4;11=>3
275;BORDERLINE;11=>4;11=>3
1299;OUTLIER;11=>4;11=>3
276;SAFE;11=>4;11=>3
1300;OUTLIER;11=>4;11=>3
277;SAFE;11=>4;11=>3
1301;OUTLIER;11=>4;11=>3
278;SAFE;11=>4;11=>3
1302;OUTLIER;11=>4;11=>3
279;SAFE;11=>4;11=>3
1303;OUTLIER;11=>4;11=>3
280;SAFE;11=>4;11=>3
1304;OUTLIER;11=>4;11=>3
281;SAFE;11=>4;11=>3
1305;OUTLIER;11=>4;11=>3
282;SAFE;11=>4;11=>3
1306;OUTLIER;11=>4;11=>3
283;SAFE;11=>4;11=>3
1307;OUTLIER;11=>4;11=>3
284;OUTLIER;11=>4;11=>3
1308;OUTLIER;11=>4;11=>3
285;SAFE;11=>4;11=>3
1309;OUTLIER;11=>4;11=>3
286;SAFE;11=>4;11=>3
1310;OUTLIER;11=>4;11=>3
287;SAFE;11=>4;11=>3
1311;OUTLIER;11=>4;11=>3
288;SAFE;11=>4;11=>3
1312;OUTLIER;11=>4;11=>3
289;SAFE;11=>4;11=>3
1313;OUTLIER;11=>4;11=>3
290;SAFE;11=>4;11=>3
1314;OUTLIER;11=>4;11=>3
291;SAFE;11=>4;11=>3
1315;OUTLIER;11=>4;11=>3
292;SAFE;11=>4;11=>3
1316;OUTLIER;11=>4;11=>3
293;SAFE;11=>4;11=>3
1317;OUTLIER;11=>4;11=>3
294;SAFE;11=>4;11=>3
1318;OUTLIER;11=>4;11=>3
295;SAFE;11=>4;11=>3
1319;OUTLIER;11=>4;11=>3
296;SAFE;11=>4;11=>3
1320;OUTLIER;11=>4;11=>3
297;SAFE;11=>4;11=>3
1321;OUTLIER;11=>4;11=>3
298;SAFE;11=>4;11=>3
1322;OUTLIER;11=>4;11=>3
299;SAFE;11=>4;11=>3
1323;OUTLIER;11=>4;11=>3
300;SAFE;11=>4;11=>3
1324;OUTLIER;11=>4;11=>3
301;SAFE;11=>4;11=>3
1325;OUTLIER;11=>4;11=>3
302;SAFE;11=>4;11=>3
1326;OUTLIER;11=>4;11=>3
303;SAFE;11=>4;11=>3
1327;OUTLIER;11=>4;11=>3
304;SAFE;11=>4;11=>3
305;SAFE;11=>4;11=>3
306;SAFE;11=>4;11=>3
307;SAFE;11=>4;11=>3
308;SAFE;11=>4;11=>3
309;SAFE;11=>4;11=>3
310;SAFE;11=>4;11=>3
311;SAFE;11=>4;11=>3
312;SAFE;11=>4;11=>3
313;SAFE;11=>4;11=>3
314;SAFE;11=>4;11=>3
315;SAFE;11=>4;11=>3
316;SAFE;11=>4;11=>3
317;SAFE;11=>4;11=>3
318;SAFE;11=>4;11=>3
319;SAFE;11=>4;11=>3
320;SAFE;11=>4;11=>3
321;SAFE;11=>4;11=>3
322;SAFE;11=>4;11=>3
323;SAFE;11=>4;11=>3
324;SAFE;11=>4;11=>3
325;SAFE;11=>4;11=>3
326;SAFE;11=>4;11=>3
327;SAFE;11=>4;11=>3
328;SAFE;11=>4;11=>3
329;SAFE;11=>4;11=>3
330;SAFE;11=>4;11=>3
331;SAFE;11=>4;11=>3
332;SAFE;11=>4;11=>3
333;SAFE;11=>4;11=>3
334;SAFE;11=>4;11=>3
335;SAFE;11=>4;11=>3
336;SAFE;11=>4;11=>3
337;SAFE;11=>4;11=>3
338;SAFE;11=>4;11=>3
339;SAFE;11=>4;11=>3
340;SAFE;11=>4;11=>3
341;SAFE;11=>4;11=>3
342;SAFE;11=>4;11=>3
343;SAFE;11=>4;11=>3
344;SAFE;11=>4;11=>3
345;SAFE;11=>4;11=>3
346;SAFE;11=>4;11=>3
347;SAFE;11=>4;11=>3
348;SAFE;11=>4;11=>3
349;SAFE;11=>4;11=>3
350;SAFE;11=>4;11=>3
351;SAFE;11=>4;11=>3
352;SAFE;11=>4;11=>3
353;SAFE;11=>4;11=>3
354;SAFE;11=>4;11=>3
355;SAFE;11=>4;11=>3
356;SAFE;11=>4;11=>3
357;SAFE;11=>4;11=>3
358;SAFE;11=>4;11=>3
359;SAFE;11=>4;11=>3
360;SAFE;11=>4;11=>3
361;SAFE;11=>4;11=>3
362;SAFE;11=>4;11=>3
363;SAFE;11=>4;11=>3
364;SAFE;11=>4;11=>3
365;SAFE;11=>4;11=>3
366;SAFE;11=>4;11=>3
367;SAFE;11=>4;11=>3
368;SAFE;11=>4;11=>3
369;SAFE;11=>4;11=>3
370;OUTLIER;11=>4;11=>3
371;OUTLIER;11=>4;11=>3
372;OUTLIER;11=>4;11=>3
373;OUTLIER;11=>4;11=>3
374;OUTLIER;11=>4;11=>3
375;OUTLIER;11=>4;11=>3
376;OUTLIER;11=>4;11=>3
377;OUTLIER;11=>4;11=>3
378;OUTLIER;11=>4;11=>3
379;OUTLIER;11=>4;11=>3
380;OUTLIER;11=>4;11=>3
381;OUTLIER;11=>4;11=>3
382;OUTLIER;11=>4;11=>3
383;OUTLIER;11=>4;11=>3
384;OUTLIER;11=>4;11=>3
385;OUTLIER;11=>4;11=>3
386;OUTLIER;11=>4;11=>3
387;OUTLIER;11=>4;11=>3
388;OUTLIER;11=>4;11=>3
389;OUTLIER;11=>4;11=>3
390;OUTLIER;11=>4;11=>3
391;OUTLIER;11=>4;11=>3
392;OUTLIER;11=>4;11=>3
393;OUTLIER;11=>4;11=>3
394;OUTLIER;11=>4;11=>3
395;OUTLIER;11=>4;11=>3
396;OUTLIER;11=>4;11=>3
397;OUTLIER;11=>4;11=>3
398;OUTLIER;11=>4;11=>3
399;OUTLIER;11=>4;11=>3
400;OUTLIER;11=>4;11=>3
401;OUTLIER;11=>4;11=>3
402;OUTLIER;11=>4;11=>3
403;OUTLIER;11=>4;11=>3
404;OUTLIER;11=>4;11=>3
405;OUTLIER;11=>4;11=>3
406;OUTLIER;11=>4;11=>3
407;OUTLIER;11=>4;11=>3
408;OUTLIER;11=>4;11=>3
409;OUTLIER;11=>4;11=>3
410;OUTLIER;11=>4;11=>3
411;OUTLIER;11=>4;11=>3
412;OUTLIER;11=>4;11=>3
413;OUTLIER;11=>4;11=>3
414;OUTLIER;11=>4;11=>3
415;OUTLIER;11=>4;11=>3
416;OUTLIER;11=>4;11=>3
417;OUTLIER;11=>4;11=>3
418;OUTLIER;11=>4;11=>3
419;OUTLIER;11=>4;11=>3
420;OUTLIER;11=>4;11=>3
421;OUTLIER;11=>4;11=>3
422;OUTLIER;11=>4;11=>3
423;OUTLIER;11=>4;11=>3
424;OUTLIER;11=>4;11=>3
425;OUTLIER;11=>4;11=>3
426;OUTLIER;11=>4;11=>3
427;OUTLIER;11=>4;11=>3
428;OUTLIER;11=>4;11=>3
429;OUTLIER;11=>4;11=>3
430;OUTLIER;11=>4;11=>3
431;OUTLIER;11=>4;11=>3
432;OUTLIER;11=>4;11=>3
433;OUTLIER;11=>4;11=>3
434;OUTLIER;11=>4;11=>3
435;OUTLIER;11=>4;11=>3
436;OUTLIER;11=>4;11=>3
437;OUTLIER;11=>4;11=>3
438;OUTLIER;11=>4;11=>3
439;OUTLIER;11=>4;11=>3
440;OUTLIER;11=>4;11=>3
441;OUTLIER;11=>4;11=>3
442;OUTLIER;11=>4;11=>3
443;OUTLIER;11=>4;11=>3
444;OUTLIER;11=>4;11=>3
445;OUTLIER;11=>4;11=>3
0;OUTLIER;11=>2;11=>3
1;OUTLIER;11=>2;11=>3
2;OUTLIER;11=>2;11=>3
3;OUTLIER;11=>2;11=>3
4;OUTLIER;11=>2;11=>3
5;OUTLIER;11=>2;11=>3
6;OUTLIER;11=>2;11=>3
7;OUTLIER;11=>2;11=>3
8;OUTLIER;11=>2;11=>3
9;OUTLIER;11=>2;11=>3
10;OUTLIER;11=>2;11=>3
11;OUTLIER;11=>2;11=>3
12;OUTLIER;11=>2;11=>3
13;OUTLIER;11=>2;11=>3
14;OUTLIER;11=>2;11=>3
15;OUTLIER;11=>2;11=>3
16;OUTLIER;11=>2;11=>3
17;OUTLIER;11=>2;11=>3
18;OUTLIER;11=>2;11=>3
19;OUTLIER;11=>2;11=>3
20;OUTLIER;11=>2;11=>3
21;OUTLIER;11=>2;11=>3
22;OUTLIER;11=>2;11=>3
23;OUTLIER;11=>2;11=>3
24;OUTLIER;11=>2;11=>3
25;OUTLIER;11=>2;11=>3
26;OUTLIER;11=>2;11=>3
27;OUTLIER;11=>2;11=>3
28;OUTLIER;11=>2;11=>3
29;OUTLIER;11=>2;11=>3
30;OUTLIER;11=>2;11=>3
31;OUTLIER;11=>2;11=>3
32;OUTLIER;11=>2;11=>3
33;OUTLIER;11=>2;11=>3
34;OUTLIER;11=>2;11=>3
35;OUTLIER;11=>2;11=>3
36;OUTLIER;11=>2;11=>3
37;OUTLIER;11=>2;11=>3
38;OUTLIER;11=>2;11=>3
39;OUTLIER;11=>2;11=>3
40;OUTLIER;11=>2;11=>3
41;OUTLIER;11=>2;11=>3
42;OUTLIER;11=>2;11=>3
43;OUTLIER;11=>2;11=>3
44;OUTLIER;11=>2;11=>3
45;OUTLIER;11=>2;11=>3
46;OUTLIER;11=>2;11=>3
47;OUTLIER;11=>2;11=>3
48;OUTLIER;11=>2;11=>3
49;OUTLIER;11=>2;11=>3
50;OUTLIER;11=>2;11=>3
51;OUTLIER;11=>2;11=>3
52;OUTLIER;11=>2;11=>3
53;OUTLIER;11=>2;11=>3
54;OUTLIER;11=>2;11=>3
55;OUTLIER;11=>2;11=>3
56;OUTLIER;11=>2;11=>3
57;OUTLIER;11=>2;11=>3
58;OUTLIER;11=>2;11=>3
59;OUTLIER;11=>2;11=>3
60;OUTLIER;11=>2;11=>3
61;OUTLIER;11=>2;11=>3
62;OUTLIER;11=>2;11=>3
63;OUTLIER;11=>2;11=>3
64;OUTLIER;11=>2;11=>3
65;OUTLIER;11=>2;11=>3
66;OUTLIER;11=>2;11=>3
67;OUTLIER;11=>2;11=>3
68;OUTLIER;11=>2;11=>3
69;OUTLIER;11=>2;11=>3
70;OUTLIER;11=>2;11=>3
71;OUTLIER;11=>2;11=>3
72;OUTLIER;11=>2;11=>3
73;OUTLIER;11=>2;11=>3
74;OUTLIER;11=>2;11=>3
75;OUTLIER;11=>2;11=>3
76;OUTLIER;11=>2;11=>3
77;OUTLIER;11=>2;11=>3
78;OUTLIER;11=>2;11=>3
79;SAFE;11=>2;11=>3
80;SAFE;11=>2;11=>3
81;OUTLIER;11=>2;11=>3
82;SAFE;11=>2;11=>3
83;SAFE;11=>2;11=>3
84;SAFE;11=>2;11=>3
85;SAFE;11=>2;11=>3
86;SAFE;11=>2;11=>3
87;SAFE;11=>2;11=>3
88;SAFE;11=>2;11=>3
89;SAFE;11=>2;11=>3
90;SAFE;11=>2;11=>3
91;SAFE;11=>2;11=>3
92;SAFE;11=>2;11=>3
93;SAFE;11=>2;11=>3
94;SAFE;11=>2;11=>3
95;SAFE;11=>2;11=>3
96;SAFE;11=>2;11=>3
97;SAFE;11=>2;11=>3
98;SAFE;11=>2;11=>3
99;SAFE;11=>2;11=>3
100;SAFE;11=>2;11=>3
101;SAFE;11=>2;11=>3
102;SAFE;11=>2;11=>3
103;SAFE;11=>2;11=>3
104;SAFE;11=>2;11=>3
105;SAFE;11=>2;11=>3
106;SAFE;11=>2;11=>3
107;SAFE;11=>2;11=>3
108;SAFE;11=>2;11=>3
109;SAFE;11=>2;11=>3
110;SAFE;11=>2;11=>3
111;SAFE;11=>2;11=>3
112;SAFE;11=>2;11=>3
113;SAFE;11=>2;11=>3
114;SAFE;11=>2;11=>3
115;SAFE;11=>2;11=>3
116;SAFE;11=>2;11=>3
117;SAFE;11=>2;11=>3
118;SAFE;11=>2;11=>3
119;SAFE;11=>2;11=>3
120;SAFE;11=>2;11=>3
121;SAFE;11=>2;11=>3
122;SAFE;11=>2;11=>3
123;SAFE;11=>2;11=>3
124;SAFE;11=>2;11=>3
125;SAFE;11=>2;11=>3
126;SAFE;11=>2;11=>3
127;SAFE;11=>2;11=>3
128;SAFE;11=>2;11=>3
129;SAFE;11=>2;11=>3
130;SAFE;11=>2;11=>3
131;SAFE;11=>2;11=>3
132;SAFE;11=>2;11=>3
133;SAFE;11=>2;11=>3
134;SAFE;11=>2;11=>3
135;SAFE;11=>2;11=>3
136;SAFE;11=>2;11=>3
137;SAFE;11=>2;11=>3
138;SAFE;11=>2;11=>3
139;SAFE;11=>2;11=>3
140;SAFE;11=>2;11=>3
141;OUTLIER;11=>2;11=>3
142;SAFE;11=>2;11=>3
143;SAFE;11=>2;11=>3
144;SAFE;11=>2;11=>3
145;SAFE;11=>2;11=>3
146;SAFE;11=>2;11=>3
147;SAFE;11=>2;11=>3
148;SAFE;11=>2;11=>3
149;SAFE;11=>2;11=>3
150;SAFE;11=>2;11=>3
151;SAFE;11=>2;11=>3
152;SAFE;11=>2;11=>3
153;SAFE;11=>2;11=>3
154;SAFE;11=>2;11=>3
155;SAFE;11=>2;11=>3
156;SAFE;11=>2;11=>3
157;SAFE;11=>2;11=>3
158;SAFE;11=>2;11=>3
159;SAFE;11=>2;11=>3
160;SAFE;11=>2;11=>3
161;SAFE;11=>2;11=>3
162;SAFE;11=>2;11=>3
163;SAFE;11=>2;11=>3
164;SAFE;11=>2;11=>3
165;SAFE;11=>2;11=>3
166;SAFE;11=>2;11=>3
167;OUTLIER;11=>2;11=>3
168;BORDERLINE;11=>2;11=>3
169;BORDERLINE;11=>2;11=>3
170;BORDERLINE;11=>2;11=>3
171;BORDERLINE;11=>2;11=>3
172;BORDERLINE;11=>2;11=>3
173;BORDERLINE;11=>2;11=>3
174;BORDERLINE;11=>2;11=>3
446;OUTLIER;11=>2;11=>3
447;OUTLIER;11=>2;11=>3
448;OUTLIER;11=>2;11=>3
449;OUTLIER;11=>2;11=>3
450;OUTLIER;11=>2;11=>3
451;OUTLIER;11=>2;11=>3
452;OUTLIER;11=>2;11=>3
453;OUTLIER;11=>2;11=>3
454;OUTLIER;11=>2;11=>3
455;OUTLIER;11=>2;11=>3
456;OUTLIER;11=>2;11=>3
457;OUTLIER;11=>2;11=>3
458;OUTLIER;11=>2;11=>3
459;OUTLIER;11=>2;11=>3
460;OUTLIER;11=>2;11=>3
461;OUTLIER;11=>2;11=>3
462;OUTLIER;11=>2;11=>3
463;OUTLIER;11=>2;11=>3
464;OUTLIER;11=>2;11=>3
465;OUTLIER;11=>2;11=>3
466;OUTLIER;11=>2;11=>3
467;OUTLIER;11=>2;11=>3
468;OUTLIER;11=>2;11=>3
469;OUTLIER;11=>2;11=>3
470;OUTLIER;11=>2;11=>3
471;OUTLIER;11=>2;11=>3
472;OUTLIER;11=>2;11=>3
473;OUTLIER;11=>2;11=>3
474;OUTLIER;11=>2;11=>3
475;OUTLIER;11=>2;11=>3
476;OUTLIER;11=>2;11=>3
477;OUTLIER;11=>2;11=>3
478;OUTLIER;11=>2;11=>3
479;OUTLIER;11=>2;11=>3
480;OUTLIER;11=>2;11=>3
481;OUTLIER;11=>2;11=>3
482;OUTLIER;11=>2;11=>3
483;OUTLIER;11=>2;11=>3
