135,1.54,1.37,17.41,10.63,14.73,4.52,31,0,13.65,18.11,2
136,1.73,0.64,44.96,6.34,9.69,6.8,33.58,12.08,7.44,9.27,2
137,1.11,1.06,26.45,30.45,34.4,77.96,15.05,32.92,30.85,38.81,2
138,1.1,0.93,40.88,12.66,10.2,5.05,64.17,36.61,15.79,32.04,2
139,0.92,0.48,58.75,1.07,6.01,5.88,14.82,7.64,1.29,1.53,2
140,1.75,1.28,55.97,5.11,10.42,48.09,48.19,19.5,5.22,8.37,2
141,1.26,1.18,42.82,2.17,7,23.19,32.16,18.73,2.27,3.95,2
142,1.41,1.4,51.95,18.86,12.15,278.54,6.54,27.15,18.93,25.14,2
143,1.96,1.62,57.17,7.14,15.53,68.93,8.39,27.22,7.25,8.36,2
144,2.22,1.09,55.01,5.48,4.76,4.65,19.31,54.83,6.98,14.59,2
145,2.2,1.25,60.84,1.5,4.23,15.84,25.94,17.89,1.6,3.17,2
146,1.34,1.3,31.31,11.47,33.75,52.31,29.15,29.42,11.69,12.73,2
147,2.34,1.98,70.97,1.62,1.37,2.61,28.24,24.34,2.62,7.11,2
148,2.05,1.8,37.41,0.81,0.97,1.15,36.46,33.62,6.32,10.19,2
149,2.07,0.61,57.8,4.23,3.18,3.95,14.1,42.13,5.66,10.42,2
150,1.87,0.98,53.08,3.72,5.31,34.81,26.63,39.37,3.83,6.9,2
151,2.6,1.44,65.25,2.83,6.02,5.86,6.68,0,3.42,5.3,2
152,2.19,1.66,58.69,5.59,12.78,62.81,33.8,26.12,5.68,6.56,2
153,1.68,1.06,46.42,9.32,16.88,11.9,29.77,34.79,10.18,11.83,2
154,1.17,1.11,46.74,2.14,4.29,2.74,29.92,11.76,3.38,9.33,2
155,1.25,1.03,44.5,6.62,12.13,10.52,36.6,23.38,7.32,12.25,2
156,1.52,1.01,59.04,1.94,1.53,1.91,23.24,38.95,4.07,6.34,2
157,1.34,1.34,40.17,4.97,16.21,11.74,22.27,16,5.43,6.49,2
158,1,0.68,20.06,14.82,44.42,78.33,12.4,0,15.01,16.79,2
159,1.39,0.73,51.24,6.46,10.78,6.2,31.49,41.61,7.7,10.57,2
160,1.96,1.8,48.4,2.99,11.67,42.5,18.91,0,3.06,3.73,2
161,1.79,1.35,7.27,15.38,23.09,6.12,51.9,0,18.38,22.05,2
